quarter,level_1,level_2,value
2008-Q4,All Types Private Residential Properties Available,Available Landed Properties,68761
2008-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,172443
2008-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,2408
2008-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,12215
2009-Q1,All Types Private Residential Properties Available,Available Landed Properties,68938
2009-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,174243
2009-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,2544
2009-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11898
2009-Q2,All Types Private Residential Properties Available,Available Landed Properties,69107
2009-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,176757
2009-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,2525
2009-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11984
2009-Q3,All Types Private Residential Properties Available,Available Landed Properties,69371
2009-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,180159
2009-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,2386
2009-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,13084
2009-Q4,All Types Private Residential Properties Available,Available Landed Properties,69498
2009-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,179991
2009-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,2475
2009-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,9913
2010-Q1,All Types Private Residential Properties Available,Available Landed Properties,69569
2010-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,180882
2010-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,2306
2010-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,9097
2010-Q2,All Types Private Residential Properties Available,Available Landed Properties,69652
2010-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,184682
2010-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,2323
2010-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11343
2010-Q3,All Types Private Residential Properties Available,Available Landed Properties,69701
2010-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,186812
2010-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,2374
2010-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,10881
2010-Q4,All Types Private Residential Properties Available,Available Landed Properties,69743
2010-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,188500
2010-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,2294
2010-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,10589
2011-Q1,All Types Private Residential Properties Available,Available Landed Properties,69695
2011-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,190413
2011-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,2236
2011-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,10504
2011-Q2,All Types Private Residential Properties Available,Available Landed Properties,69790
2011-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,192372
2011-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,2395
2011-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,10952
2011-Q3,All Types Private Residential Properties Available,Available Landed Properties,69991
2011-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,196106
2011-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,2545
2011-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,12975
2011-Q4,All Types Private Residential Properties Available,Available Landed Properties,70145
2011-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,198623
2011-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,2394
2011-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,13586
2012-Q1,All Types Private Residential Properties Available,Available Landed Properties,70159
2012-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,200761
